AUSPOSTID,POSTCODE,LOCATION,STATE,LONGITUDE,LATITUDE
1,0200,AUSTRALIAN NATIONAL UNIVERSITY,ACT,null,null
2,0800,DARWIN,NT,130.841904,-12.461334
3,0801,DARWIN,NT,null,null
4,0803,WAGAIT BEACH,NT,null,null
5,0804,PARAP,NT,null,null
6,0810,ALAWA,NT,130.874226,-12.37896
7,0810,BRINKIN,NT,130.869394,-12.364533
8,0810,CASUARINA,NT,130.883619,-12.373112
9,0810,COCONUT GROVE,NT,130.852324,-12.397685
10,0810,JINGILI,NT,130.8717,-12.390186
11,0810,LEE POINT,NT,130.892832,-12.338907
12,0810,LYONS,NT,130.890267,-12.356385
13,0810,MILLNER,NT,130.863333,-12.39123
14,0810,MOIL,NT,130.879999,-12.389845
15,0810,MUIRHEAD,NT,130.890598,-12.357801
16,0810,NAKARA,NT,130.879513,-12.366912
17,0810,NIGHTCLIFF,NT,130.849995,-12.387942
18,0810,RAPID CREEK,NT,130.859023,-12.380922
19,0810,TIWI,NT,130.880623,-12.364782
20,0810,WAGAMAN,NT,130.885854,-12.379276
21,0810,WANGURI,NT,130.8875,-12.372904
22,0811,CASUARINA,NT,null,null
23,0812,ANULA,NT,130.89015,-12.39191
24,0812,BUFFALO CREEK,NT,130.908249,-12.337908
25,0812,HOLMES,NT,130.925113,-12.387951
26,0812,KARAMA,NT,130.91689,-12.40107
27,0812,LEANYER,NT,130.897115,-12.37963
28,0812,MALAK,NT,130.904238,-12.393299
29,0812,MARRARA,NT,130.880139,-12.398681
30,0812,WULAGI,NT,130.894012,-12.384188
31,0813,KARAMA,NT,null,null
32,0814,NIGHTCLIFF,NT,null,null
33,0815,CHARLES DARWIN UNIVERSITY,NT,null,null
34,0820,BAYVIEW,NT,130.857633,-12.435598
35,0820,CHARLES DARWIN,NT,130.873506,-12.432392
36,0820,COONAWARRA,NT,130.912053,-12.430699
37,0820,DARWIN DC,NT,130.8664593,-12.4255956
38,0820,EAST POINT,NT,130.824583,-12.411465
39,0820,EATON,NT,130.8596,-12.42267
40,0820,FANNIE BAY,NT,130.840418,-12.4262
41,0820,LARRAKEYAH,NT,130.832197,-12.453938
42,0820,LUDMILLA,NT,130.854017,-12.421373
43,0820,PARAP,NT,130.843316,-12.433021
44,0820,STUART PARK,NT,130.849026,-12.444853
45,0820,THE GARDENS,NT,130.832138,-12.448568
46,0820,THE NARROWS,NT,130.860364,-12.427843
47,0820,WINNELLIE,NT,130.879379,-12.430434
48,0820,WOOLNER,NT,130.848429,-12.43719
49,0821,WINNELLIE,NT,null,null
50,0822,ACACIA HILLS,NT,131.122952,-12.795646
51,0822,ANGURUGU,NT,136.448994,-13.958891
52,0822,ANINDILYAKWA,NT,136.5933382,-13.9700453
53,0822,ANNIE RIVER,NT,133.3848319,-12.9305044
54,0822,BATHURST ISLAND,NT,130.3496894,-11.6035121
55,0822,BEES CREEK,NT,131.059038,-12.554817
56,0822,BELYUEN,NT,130.69747,-12.536205
57,0822,BLACK JUNGLE,NT,131.20831,-12.525532
58,0822,BLACKMORE,NT,130.919397,-12.750966
59,0822,BURRUNDIE,NT,131.703122,-13.537
60,0822,BYNOE,NT,130.616905,-12.814582
61,0822,BYNOE HARBOUR,NT,130.5833333,-12.6833333
62,0822,CAMP CREEK,NT,130.945363,-13.159834
63,0822,CHANNEL ISLAND,NT,130.867579,-12.552677
64,0822,CHARLES DARWIN,NT,130.873506,-12.432392
65,0822,CHARLOTTE,NT,130.823545,-12.731357
66,0822,CLARAVALE,NT,131.576945,-14.345051
67,0822,COBOURG,NT,132.566716,-11.435716
68,0822,COLLETT CREEK,NT,130.906482,-12.935164
69,0822,COOMALIE CREEK,NT,131.11851,-13.000322
70,0822,COX PENINSULA,NT,130.689506,-12.573324
71,0822,DALY,NT,131.225953,-12.727663
72,0822,DALY RIVER,NT,130.714614,-13.753074
73,0822,DARWIN RIVER DAM,NT,131.016251,-12.873887
74,0822,DELISSAVILLE,NT,130.995425,-12.505532
75,0822,DOUGLAS-DALY,NT,131.352929,-13.787294
76,0822,EAST ARM,NT,130.921411,-12.474392
77,0822,EAST ARNHEM,NT,135.790097,-12.711923
78,0822,ELRUNDIE,NT,130.961631,-12.47729
79,0822,EVA VALLEY,NT,131.007232,-13.124364
80,0822,FINNISS VALLEY,NT,130.936642,-13.026274
81,0822,FLEMING,NT,131.298887,-13.850574
82,0822,FLY CREEK,NT,131.068788,-12.801221
83,0822,FREDS PASS,NT,131.055036,-12.539837
84,0822,GALIWINKU,NT,135.6101584,-12.0037955
85,0822,GLYDE POINT,NT,131.076908,-12.187992
86,0822,GOULBURN ISLAND,NT,133.4548484,-11.4973068
87,0822,GUNBALANYA,NT,133.05407,-12.325698
88,0822,GUNN POINT,NT,131.02437,-12.176992
89,0822,HAYES CREEK,NT,130.973991,-12.478276
90,0822,HIDDEN VALLEY,NT,130.897039,-12.43479
91,0822,HOTHAM,NT,131.480681,-12.420642
92,0822,HUGHES,NT,131.100659,-12.688439
93,0822,KAKADU,NT,132.829947,-12.655573
94,0822,KOOLPINYAH,NT,131.174428,-12.353237
95,0822,LAKE BENNETT,NT,131.171778,-12.909021
96,0822,LAMBELLS LAGOON,NT,131.183122,-12.59073
97,0822,LITCHFIELD PARK,NT,130.656911,-13.1243
98,0822,LIVINGSTONE,NT,131.08189,-12.682902
99,0822,LLOYD CREEK,NT,131.126229,-12.616905
100,0822,MANDORAH,NT,130.757475,-12.446686
101,0822,MANINGRIDA,NT,134.301886,-12.213606
102,0822,MAPURU,NT,null,null
103,0822,MARANUNGA,NT,130.721923,-13.698884
104,0822,MARGARET RIVER,NT,131.298879,-13.089601
105,0822,MARRAKAI,NT,131.43338,-12.714294
106,0822,MCMINNS LAGOON,NT,131.068773,-12.554897
107,0822,MICKETT CREEK,NT,130.951697,-12.379529
108,0822,MIDDLE POINT,NT,131.302384,-12.602677
109,0822,MILIKAPITI,NT,133.3848319,-12.9305044
110,0822,MILINGIMBI,NT,134.8973049,-12.0939133
111,0822,MILYAKBURRA,NT,136.2282927,-13.7624386
112,0822,MINJILANG,NT,132.5786667,-11.1488333
113,0822,MOUNT BUNDEY,NT,131.603495,-12.875423
114,0822,MURRUMUJUK,NT,131.063802,-12.269647
115,0822,NAUIYU,NT,130.724264,-13.731774
116,0822,NEMARLUK,NT,130.192052,-14.157755
117,0822,NGANMARRIYANGA,NT,129.872097,-14.348988
118,0822,NUMBULWAR,NT,135.742132,-14.277388
119,0822,NUMBURINDI,NT,135.91121,-14.03231
120,0822,OENPELLI,NT,133.05,-12.3166667
121,0822,PEPPIMENARTI,NT,130.075176,-14.150693
122,0822,PIRLANGIMPI,NT,133.3848319,-12.9305044
123,0822,POINT STEPHENS,NT,133.884318,-23.721252
124,0822,POINT STUART,NT,131.899898,-12.229231
125,0822,PULARUMPI,NT,130.4236161,-11.4058343
126,0822,RAKULA,NT,130.407169,-12.982016
127,0822,RAMINGINING,NT,134.932653,-12.3297
128,0822,ROBIN FALLS,NT,131.137556,-13.34914
129,0822,RUM JUNGLE,NT,130.997811,-13.001543
130,0822,SANDPALMS ROADHOUSE,NT,133.3848319,-12.9305044
131,0822,SOUTHPORT,NT,130.949372,-12.727399
132,0822,STAPLETON,NT,131.099433,-13.22155
133,0822,THAMARRURR,NT,129.694198,-14.259909
134,0822,TIPPERARY,NT,131.04497,-13.735124
135,0822,TIVENDALE,NT,130.947547,-12.461782
136,0822,TIWI ISLANDS,NT,131.1200028,-11.5824509
137,0822,TORTILLA FLATS,NT,131.22839,-13.088602
